1∫≈œ‰,530,290,370
2∫≈œ‰,530,230,290
3∫≈œ‰,430,210,270
4∫≈œ‰,350,190,230
5∫≈œ‰,290,170,190
6∫≈œ‰,260,150,180
7∫≈œ‰,230,130,160
8∫≈œ‰,210,110,140
9∫≈œ‰,195,105,135
10∫≈œ‰,175,95,115
11∫≈œ‰,145,85,105
12∫≈œ‰,130,80,90
